,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42,22021,1610612742,DAL,Dallas Mavericks,0022100603,2022-01-09,DAL vs. CHI,W,239,113,44,88,0.5,16,36,0.444,9,9,1.0,7,41,48,28,4,2,9,14,14.0
43,22021,1610612742,DAL,Dallas Mavericks,0022100586,2022-01-07,DAL @ HOU,W,238,130,49,90,0.544,17,38,0.447,15,28,0.536,11,44,55,34,6,4,14,24,24.0
44,22021,1610612742,DAL,Dallas Mavericks,0022100572,2022-01-05,DAL vs. GSW,W,238,99,33,87,0.379,12,40,0.3,21,26,0.808,10,36,46,22,6,5,12,15,17.0
45,22021,1610612742,DAL,Dallas Mavericks,0022100558,2022-01-03,DAL vs. DEN,W,242,103,35,78,0.449,14,37,0.378,19,21,0.905,5,23,28,23,12,5,11,21,14.0
46,22021,1610612742,DAL,Dallas Mavericks,0022100550,2022-01-02,DAL @ OKC,W,239,95,38,85,0.447,14,39,0.359,5,7,0.714,7,41,48,28,9,3,16,12,9.0
47,22021,1610612742,DAL,Dallas Mavericks,0022100531,2021-12-31,DAL @ SAC,W,240,112,42,81,0.519,9,22,0.409,19,22,0.864,10,37,47,30,5,7,11,14,16.0
48,22021,1610612742,DAL,Dallas Mavericks,0022100524,2021-12-29,DAL @ SAC,L,240,94,38,81,0.469,9,24,0.375,9,13,0.692,7,29,36,23,7,5,11,19,-1.0
49,22021,1610612742,DAL,Dallas Mavericks,0022100506,2021-12-27,DAL @ POR,W,240,132,48,84,0.571,12,33,0.364,24,33,0.727,10,31,41,38,6,4,13,31,15.0
50,22021,1610612742,DAL,Dallas Mavericks,0022100492,2021-12-25,DAL @ UTA,L,242,116,38,89,0.427,10,30,0.333,30,35,0.857,8,35,43,19,7,3,13,31,-4.0
51,22021,1610612742,DAL,Dallas Mavericks,0022100481,2021-12-23,DAL vs. MIL,L,241,95,35,86,0.407,12,45,0.267,13,17,0.765,8,35,43,25,6,2,11,21,-7.0
52,22021,1610612742,DAL,Dallas Mavericks,0022100468,2021-12-21,DAL vs. MIN,W,241,114,42,86,0.488,11,34,0.324,19,23,0.826,10,34,44,30,11,3,10,22,12.0
